Time,Signal,Label
61.344,0.107736021,AORTICSCLEROCIS
61.348,0.085761746,AORTICSCLEROCIS
61.352,0.006781744,AORTICSCLEROCIS
61.356,-0.067898945,AORTICSCLEROCIS
61.36,-0.081593058,AORTICSCLEROCIS
61.364,-0.00691237,AORTICSCLEROCIS
61.368,0.095315779,AORTICSCLEROCIS
61.372,0.09372344,AORTICSCLEROCIS
61.376,-0.009141644,AORTICSCLEROCIS
61.38,-0.006275434,AORTICSCLEROCIS
61.384,0.036717712,AORTICSCLEROCIS
61.388,0.03990239,AORTICSCLEROCIS
61.392,0.003278598,AORTICSCLEROCIS
61.396,-0.061051888,AORTICSCLEROCIS
61.4,-0.084459268,AORTICSCLEROCIS
61.404,-0.081433824,AORTICSCLEROCIS
61.408,-0.119172253,AORTICSCLEROCIS
61.412,-0.051179388,AORTICSCLEROCIS
61.416,0.066972149,AORTICSCLEROCIS
61.42,0.109487594,AORTICSCLEROCIS
61.424,0.097545053,AORTICSCLEROCIS
61.428,0.057736584,AORTICSCLEROCIS
61.432,-0.029682814,AORTICSCLEROCIS
61.436,-0.065828904,AORTICSCLEROCIS
61.44,-0.021880354,AORTICSCLEROCIS
61.444,0.010125655,AORTICSCLEROCIS
61.448,-0.037644508,AORTICSCLEROCIS
61.452,-0.057230275,AORTICSCLEROCIS
61.456,0.019520454,AORTICSCLEROCIS
61.46,0.090379529,AORTICSCLEROCIS
61.464,0.081940133,AORTICSCLEROCIS
61.468,0.004234001,AORTICSCLEROCIS
61.472,-0.039714548,AORTICSCLEROCIS
61.476,-0.010097047,AORTICSCLEROCIS
61.48,0.046430979,AORTICSCLEROCIS
61.484,-0.010415515,AORTICSCLEROCIS
61.488,-0.103567333,AORTICSCLEROCIS
61.492,-0.050542452,AORTICSCLEROCIS
61.496,0.019042752,AORTICSCLEROCIS
61.5,0.002323195,AORTICSCLEROCIS
61.504,-0.035415234,AORTICSCLEROCIS
61.508,0.001049324,AORTICSCLEROCIS
61.512,0.058373519,AORTICSCLEROCIS
61.516,0.064265173,AORTICSCLEROCIS
61.52,-0.034141363,AORTICSCLEROCIS
61.524,-0.153726004,AORTICSCLEROCIS
61.528,-0.143853504,AORTICSCLEROCIS
61.532,0.025571341,AORTICSCLEROCIS
61.536,0.143245176,AORTICSCLEROCIS
61.54,0.175251185,AORTICSCLEROCIS
61.544,0.115697715,AORTICSCLEROCIS
61.548,0.041813196,AORTICSCLEROCIS
61.552,-0.027612774,AORTICSCLEROCIS
61.556,-0.097197978,AORTICSCLEROCIS
61.56,-0.088917816,AORTICSCLEROCIS
61.564,0.017291179,AORTICSCLEROCIS
61.568,0.074774609,AORTICSCLEROCIS
61.572,0.097385819,AORTICSCLEROCIS
61.576,0.027959849,AORTICSCLEROCIS
61.58,-0.10675201,AORTICSCLEROCIS
61.584,-0.113280599,AORTICSCLEROCIS
61.588,-0.047835476,AORTICSCLEROCIS
61.592,-0.027612774,AORTICSCLEROCIS
61.596,-0.055956404,AORTICSCLEROCIS
61.6,-0.068217412,AORTICSCLEROCIS
61.604,9.39207e-05,AORTICSCLEROCIS
61.608,0.082099367,AORTICSCLEROCIS
61.612,0.091175698,AORTICSCLEROCIS
61.616,-0.006275434,AORTICSCLEROCIS
61.62,-0.026657371,AORTICSCLEROCIS
61.624,0.101844368,AORTICSCLEROCIS
61.628,0.14260824,AORTICSCLEROCIS
61.632,0.069679125,AORTICSCLEROCIS
61.636,-0.016147935,AORTICSCLEROCIS
61.64,-0.08700701,AORTICSCLEROCIS
61.644,-0.087962413,AORTICSCLEROCIS
61.648,-0.103726567,AORTICSCLEROCIS
61.652,-0.125541608,AORTICSCLEROCIS
61.656,-0.099586486,AORTICSCLEROCIS
61.66,-0.043217694,AORTICSCLEROCIS
61.664,0.04977489,AORTICSCLEROCIS
61.668,0.151366103,AORTICSCLEROCIS
61.672,0.168404128,AORTICSCLEROCIS
61.676,0.066972149,AORTICSCLEROCIS
61.68,-0.067262009,AORTICSCLEROCIS
61.684,-0.106433543,AORTICSCLEROCIS
61.688,-0.017103338,AORTICSCLEROCIS
61.692,0.114742312,AORTICSCLEROCIS
61.696,0.076526181,AORTICSCLEROCIS
61.7,0.009011018,AORTICSCLEROCIS
61.704,0.009807187,AORTICSCLEROCIS
61.708,0.029552188,AORTICSCLEROCIS
61.712,-0.049587049,AORTICSCLEROCIS
61.716,-0.097834913,AORTICSCLEROCIS
61.72,-0.065032735,AORTICSCLEROCIS
61.724,-0.051179388,AORTICSCLEROCIS
61.728,0.057736584,AORTICSCLEROCIS
61.732,0.133213441,AORTICSCLEROCIS
61.736,-0.01965108,AORTICSCLEROCIS
61.74,-0.175381811,AORTICSCLEROCIS
61.744,-0.121879229,AORTICSCLEROCIS
61.748,-0.01471483,AORTICSCLEROCIS
61.752,0.046430979,AORTICSCLEROCIS
61.756,0.031940696,AORTICSCLEROCIS
61.76,-0.038440677,AORTICSCLEROCIS
61.764,-0.053408662,AORTICSCLEROCIS
61.768,0.067927552,AORTICSCLEROCIS
61.772,0.154550781,AORTICSCLEROCIS
